,path,target
0,/imatge/morros/work_fast/mobilitat/ridesafe/barcelona/split_videos/downsampled_cnt/bike_bidir/VID_20220429_111755_0.mp4,0
1,/imatge/morros/work_fast/mobilitat/ridesafe/barcelona/split_videos/downsampled_cnt/bike_bidir/VID_20220427_143555_0.mp4,0
2,/imatge/morros/work_fast/mobilitat/ridesafe/barcelona/split_videos/downsampled_cnt/bike_bidir/VID_20220504_144222_1.mp4,0
3,/imatge/morros/work_fast/mobilitat/ridesafe/barcelona/split_videos/downsampled_cnt/bike_bidir/VID_20220429_111645_2.mp4,0
4,/imatge/morros/work_fast/mobilitat/ridesafe/barcelona/split_videos/downsampled_cnt/bike_bidir/VID_20220504_143846_1.mp4,0
5,/imatge/morros/work_fast/mobilitat/ridesafe/barcelona/split_videos/downsampled_cnt/bike_bidir/VID_20220511_132940_1.mp4,0
6,/imatge/morros/work_fast/mobilitat/ridesafe/barcelona/split_videos/downsampled_cnt/bike_bidir/VID_20220502_171326_0.mp4,0
7,/imatge/morros/work_fast/mobilitat/ridesafe/barcelona/split_videos/downsampled_cnt/bike_bidir/VID_20220429_112459_1.mp4,0
8,/imatge/morros/work_fast/mobilitat/ridesafe/barcelona/split_videos/downsampled_cnt/bike_bidir/VID_20220502_171101_0.mp4,0
9,/imatge/morros/work_fast/mobilitat/ridesafe/barcelona/split_videos/downsampled_cnt/bike_bidir/VID_20220427_151533_0.mp4,0
10,/imatge/morros/work_fast/mobilitat/ridesafe/barcelona/split_videos/downsampled_cnt/bike_bidir/VID_20220502_172244_2.mp4,0
11,/imatge/morros/work_fast/mobilitat/ridesafe/barcelona/split_videos/downsampled_cnt/bike_bidir/VID_20220427_143007_2.mp4,0
12,/imatge/morros/work_fast/mobilitat/ridesafe/barcelona/split_videos/downsampled_cnt/bike_bidir/VID_20220503_213020_1.mp4,0
13,/imatge/morros/work_fast/mobilitat/ridesafe/barcelona/split_videos/downsampled_cnt/bike_bidir/VID_20220428_163309_0.mp4,0
14,/imatge/morros/work_fast/mobilitat/ridesafe/barcelona/split_videos/downsampled_cnt/bike_bidir/VID_20220511_115143_0.mp4,0
15,/imatge/morros/work_fast/mobilitat/ridesafe/barcelona/split_videos/downsampled_cnt/bike_bidir/VID_20220504_144032_1.mp4,0
16,/imatge/morros/work_fast/mobilitat/ridesafe/barcelona/split_videos/downsampled_cnt/bike_bidir/VID_20220426_161718_0.mp4,0
17,/imatge/morros/work_fast/mobilitat/ridesafe/barcelona/split_videos/downsampled_cnt/bike_bidir/VID_20220503_134944_1.mp4,0
18,/imatge/morros/work_fast/mobilitat/ridesafe/barcelona/split_videos/downsampled_cnt/bike_bidir/VID_20220427_145135_0.mp4,0
19,/imatge/morros/work_fast/mobilitat/ridesafe/barcelona/split_videos/downsampled_cnt/bike_bidir/VID_20220502_155746_2.mp4,0
20,/imatge/morros/work_fast/mobilitat/ridesafe/barcelona/split_videos/downsampled_cnt/bike_bidir/VID_20220503_224842_1.mp4,0
21,/imatge/morros/work_fast/mobilitat/ridesafe/barcelona/split_videos/downsampled_cnt/bike_bidir/VID_20220511_122733_1.mp4,0
22,/imatge/morros/work_fast/mobilitat/ridesafe/barcelona/split_videos/downsampled_cnt/bike_bidir/VID_20220502_171035_0.mp4,0
